lat,long
37.99255958180252,-87.55209563523789
37.99261804893684,-87.55189038697618
37.99217811441576,-87.55178203879021
37.99219773974755,-87.55196888830336
37.97909006241313,-87.58779370491388
37.97919432198829,-87.58806355322606
37.97892488253718,-87.58805210511585
37.979906149127,-87.58862123973795
38.36246887474474,-87.27165659450895
38.36285483960339,-87.27152575896363
38.36318847024392,-87.27096316611882
38.36299875870323,-87.27018469462425
38.36358751865711,-87.27023048706508
38.36560238605483,-87.27084214323939
38.36552388472765,-87.27008983885388
38.36636613855057,-87.26929501291613
38.36221865176432,-87.27025665417415
38.36166914247403,-87.27255281799431
38.36200931489184,-87.27243833689215
38.36217613021211,-87.27209816447434
38.38315479217987,-86.94695629766423
38.38227001680475,-86.94598975007325
38.6316942604201,-87.52425920236642
41.6736994212435,-87.49895146331494
41.67352401984056,-87.49890035568006
41.67325907786133,-87.49885946957215
41.67269525843327,-87.49879118977194
41.67006914372228,-87.4966806488816
41.6701431475776,-87.496398534737
41.66971507002781,-87.49685809458994
41.66986593976598,-87.49660909819278
41.67057490487712,-87.49684378445215
41.67059003273705,-87.49658456652801
41.67041013386224,-87.49662095516406
41.66991214106792,-87.4954258542299
41.67001435633769,-87.49532977187629
41.66862709069635,-87.49684092242455
41.67453063581723,-87.48568392129846
41.67440879521568,-87.48537318687838
41.67535776178023,-87.48498068024242
41.62609490808325,-87.51456852552164
41.62612679924742,-87.51440743425647
41.6263655741176,-87.51453254574668
41.62638111083861,-87.51476314339526
41.62615214863433,-87.51477295606118
41.62564761406274,-87.51451292041489
41.62567051028317,-87.5148604523321
41.62586676360114,-87.51430358354239
41.6263009740671,-87.51557923010914
41.62614887774569,-87.51515892091984
41.62639092350451,-87.51540014895652
41.6249345603408,-87.51414003911076
41.62568931789281,-87.51413595049998
41.59662665466917,-87.49357514455477
41.59639319499302,-87.49340628492911
41.59644757351655,-87.49374523076366
41.59865664992673,-87.46835781977995
41.59877399305643,-87.46841424260884
41.62259505724585,-87.18035484908773
41.62274388267863,-87.18035403136557
41.58302793517834,-87.12240328859909
41.58300667440224,-87.12212280989885
41.44753852863803,-87.02042086521196
41.44765955151743,-87.02064001475036
41.59576089133348,-87.0427389560749
41.67948317006734,-86.90600252324313
